category,method,path,base_url,summary,tags,deprecated,official_docs
seller,POST,/v1/actions/discounts-task/list,https://api-seller.ozon.ru,Список заявок на скидку,Promos; Акции Ozon,False,https://docs.ozon.ru/api/seller/
seller,POST,/v1/actions/products,https://api-seller.ozon.ru,Список участвующих в акции товаров,Promos; Акции Ozon,False,https://docs.ozon.ru/api/seller/
seller,POST,/v1/actions/products/activate,https://api-seller.ozon.ru,Добавить товар в акцию,Promos; Акции Ozon,False,https://docs.ozon.ru/api/seller/
seller,POST,/v1/actions/products/deactivate,https://api-seller.ozon.ru,Удалить товары из акции,Promos; Акции Ozon,False,https://docs.ozon.ru/api/seller/
seller,POST,/v1/analytics/data,https://api-seller.ozon.ru,Данные аналитики,Premium; Premium-методы,False,https://docs.ozon.ru/api/seller/
seller,POST,/v1/analytics/manage/stocks,https://api-seller.ozon.ru,Управление остатками,BetaMethod; Прочие методы,False,https://docs.ozon.ru/api/seller/
seller,POST,/v1/analytics/product-queries,https://api-seller.ozon.ru,Получить информацию о запросах моих товаров,Premium; Premium-методы,False,https://docs.ozon.ru/api/seller/
seller,POST,/v1/analytics/product-queries/details,https://api-seller.ozon.ru,Получить детализацию запросов по товару,Premium; Premium-методы,False,https://docs.ozon.ru/api/seller/
seller,POST,/v1/analytics/stocks,https://api-seller.ozon.ru,Получить аналитику по остаткам,AnalyticsAPI; Аналитические отчёты,False,https://docs.ozon.ru/api/seller/
seller,POST,/v1/analytics/turnover/stocks,https://api-seller.ozon.ru,Оборачиваемость товара,AnalyticsAPI; Аналитические отчёты,False,https://docs.ozon.ru/api/seller/
seller,POST,/v1/assembly/carriage/posting/list,https://api-seller.ozon.ru,Получить список отправлений в отгрузке,DeliveryFBS; Доставка FBS,False,https://docs.ozon.ru/api/seller/
seller,POST,/v1/assembly/carriage/product/list,https://api-seller.ozon.ru,Получить список товаров в отгрузке,DeliveryFBS; Доставка FBS,False,https://docs.ozon.ru/api/seller/
seller,POST,/v1/assembly/fbs/posting/list,https://api-seller.ozon.ru,Получить список отправлений,DeliveryFBS; Доставка FBS,False,https://docs.ozon.ru/api/seller/
seller,POST,/v1/assembly/fbs/product/list,https://api-seller.ozon.ru,Получить список товаров в отправлениях,DeliveryFBS; Доставка FBS,False,https://docs.ozon.ru/api/seller/
seller,POST,/v1/barcode/add,https://api-seller.ozon.ru,Привязать штрихкод к товару,BarcodeAPI; Штрихкоды товаров,False,https://docs.ozon.ru/api/seller/
seller,POST,/v1/barcode/generate,https://api-seller.ozon.ru,Создать штрихкод для товара,BarcodeAPI; Штрихкоды товаров,False,https://docs.ozon.ru/api/seller/
seller,POST,/v1/brand/company-certification/list,https://api-seller.ozon.ru,Список сертифицируемых брендов,BrandAPI; Сертификаты брендов,False,https://docs.ozon.ru/api/seller/
seller,POST,/v1/cancel-reason/list,https://api-seller.ozon.ru,Причины отмены отправлений,CancelReasonAPI; Причины отмены,False,https://docs.ozon.ru/api/seller/
seller,POST,/v1/cancel-reason/list-by-order,https://api-seller.ozon.ru,Причины отмены заказа,CancelReasonAPI; Причины отмены,False,https://docs.ozon.ru/api/seller/
seller,POST,/v1/cancel-reason/list-by-posting,https://api-seller.ozon.ru,Причины отмены отправления,CancelReasonAPI; Причины отмены,False,https://docs.ozon.ru/api/seller/
seller,POST,/v1/cargoes-label/create,https://api-seller.ozon.ru,Сгенерировать этикетки для грузомест,FboSupplyRequest; Создание и управление заявками на поставку FBO,False,https://docs.ozon.ru/api/seller/
seller,GET,/v1/cargoes-label/file/{file_guid},https://api-seller.ozon.ru,Получить PDF с этикетками грузовых мест,FboSupplyRequest; Создание и управление заявками на поставку FBO,False,https://docs.ozon.ru/api/seller/
seller,POST,/v1/cargoes-label/get,https://api-seller.ozon.ru,Получить идентификатор этикетки для грузомест,FboSupplyRequest; Создание и управление заявками на поставку FBO,False,https://docs.ozon.ru/api/seller/
seller,POST,/v1/cargoes/create,https://api-seller.ozon.ru,Установка грузомест,FboSupplyRequest; Создание и управление заявками на поставку FBO,False,https://docs.ozon.ru/api/seller/
seller,POST,/v1/cargoes/delete,https://api-seller.ozon.ru,Удалить грузоместо в заявке на поставку,FboSupplyRequest; Создание и управление заявками на поставку FBO,False,https://docs.ozon.ru/api/seller/
seller,POST,/v1/cargoes/delete/status,https://api-seller.ozon.ru,Информация о статусе удаления грузоместа,FboSupplyRequest; Создание и управление заявками на поставку FBO,False,https://docs.ozon.ru/api/seller/
seller,POST,/v1/cargoes/get,https://api-seller.ozon.ru,Получить информацию о грузоместах,FboSupplyRequest; Создание и управление заявками на поставку FBO,False,https://docs.ozon.ru/api/seller/
seller,POST,/v1/cargoes/label/transport-by-order/create,https://api-seller.ozon.ru,Сгенерировать этикетки для транспортных грузомест по идентификатору поставки,FBOTransport; Работа с транспортными грузоместами FBO,False,https://docs.ozon.ru/api/seller/
seller,POST,/v1/cargoes/label/transport-by-order/status,https://api-seller.ozon.ru,Получить статус генерации этикеток для транспортных грузомеcт по идентификатору поставки,FBOTransport; Работа с транспортными грузоместами FBO,False,https://docs.ozon.ru/api/seller/
seller,POST,/v1/cargoes/label/transport/create,https://api-seller.ozon.ru,Сгенерировать этикетки транспортных грузомест по идентификатору грузоместа,FBOTransport; Работа с транспортными грузоместами FBO,False,https://docs.ozon.ru/api/seller/
seller,POST,/v1/cargoes/label/transport/status,https://api-seller.ozon.ru,Получить статус генерации этикеток транспортных грузомест по идентификатору грузоместа,FBOTransport; Работа с транспортными грузоместами FBO,False,https://docs.ozon.ru/api/seller/
seller,POST,/v1/cargoes/rules/get,https://api-seller.ozon.ru,Чек-лист по установке грузомест FBO,FboSupplyRequest; Создание и управление заявками на поставку FBO,False,https://docs.ozon.ru/api/seller/
seller,POST,/v1/cargoes/supplies/get,https://api-seller.ozon.ru,Получить информацию о грузоместах в поставках,FBOTransport; Работа с транспортными грузоместами FBO,False,https://docs.ozon.ru/api/seller/
seller,POST,/v1/cargoes/transport/activate,https://api-seller.ozon.ru,Включить или отключить транспортные грузоместа в поставке,FBOTransport; Работа с транспортными грузоместами FBO,False,https://docs.ozon.ru/api/seller/
seller,POST,/v1/cargoes/transport/activate/status,https://api-seller.ozon.ru,Получить статус включения или отключения транспортных грузомест,FBOTransport; Работа с транспортными грузоместами FBO,False,https://docs.ozon.ru/api/seller/
seller,POST,/v1/cargoes/transport/bind,https://api-seller.ozon.ru,Связать или отвязать грузоместа и транспортные грузоместа,FBOTransport; Работа с транспортными грузоместами FBO,False,https://docs.ozon.ru/api/seller/
seller,POST,/v1/cargoes/transport/bind/status,https://api-seller.ozon.ru,Получить статус связывания или отвязывания грузомест и транспортных грузомест,FBOTransport; Работа с транспортными грузоместами FBO,False,https://docs.ozon.ru/api/seller/
seller,POST,/v1/cargoes/transport/create,https://api-seller.ozon.ru,Создать транспортное грузоместо,FBOTransport; Работа с транспортными грузоместами FBO,False,https://docs.ozon.ru/api/seller/
seller,POST,/v1/cargoes/transport/create/status,https://api-seller.ozon.ru,Получить статус создания транспортного грузоместа,FBOTransport; Работа с транспортными грузоместами FBO,False,https://docs.ozon.ru/api/seller/
seller,POST,/v1/carriage/act-discrepancy/pdf,https://api-seller.ozon.ru,Получить акт о расхождениях по отгрузке FBS,DeliveryFBS; Доставка FBS,False,https://docs.ozon.ru/api/seller/
seller,POST,/v1/carriage/approve,https://api-seller.ozon.ru,Подтверждение отгрузки,DeliveryFBS; Доставка FBS,False,https://docs.ozon.ru/api/seller/
seller,POST,/v1/carriage/cancel,https://api-seller.ozon.ru,Удаление отгрузки,DeliveryFBS; Доставка FBS,False,https://docs.ozon.ru/api/seller/
seller,POST,/v1/carriage/container/approve,https://api-seller.ozon.ru,Подтвердить состав грузоместа,CarriageAPI; Работа с грузоместами FBS,False,https://docs.ozon.ru/api/seller/
seller,POST,/v1/carriage/container/cancel,https://api-seller.ozon.ru,Отменить грузоместо,CarriageAPI; Работа с грузоместами FBS,False,https://docs.ozon.ru/api/seller/
seller,POST,/v1/carriage/container/create,https://api-seller.ozon.ru,Создать грузоместо,CarriageAPI; Работа с грузоместами FBS,False,https://docs.ozon.ru/api/seller/
seller,POST,/v1/carriage/container/document/get,https://api-seller.ozon.ru,Получить документы по грузоместам — ТрН и лист отгрузки,CarriageAPI; Работа с грузоместами FBS,False,https://docs.ozon.ru/api/seller/
